epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.37207499146461487,0.0010000000474974513,1.6972426176071167,0.4657999873161316,1.4250540733337402
1,0.503000020980835,0.0010000000474974513,1.3654671907424927,0.5302000045776367,1.295819640159607
2,0.5579249858856201,0.0010000000474974513,1.234861969947815,0.5102999806404114,1.3144115209579468
3,0.5909749865531921,0.0010000000474974513,1.1441917419433594,0.6468999981880188,0.9937480688095093
4,0.6161999702453613,0.0010000000474974513,1.0797159671783447,0.6459000110626221,1.0042672157287598
5,0.6379500031471252,0.0010000000474974513,1.0233796834945679,0.6448000073432922,1.0325849056243896
6,0.6563500165939331,0.0010000000474974513,0.9722670912742615,0.6079999804496765,1.1538423299789429
7,0.6912750005722046,0.0005000000237487257,0.8734318614006042,0.7190999984741211,0.7926459908485413
8,0.7046499848365784,0.0005000000237487257,0.8452394604682922,0.7329999804496765,0.7545453906059265
9,0.7143250107765198,0.0005000000237487257,0.8259738087654114,0.7394000291824341,0.7627072334289551
10,0.7254499793052673,0.0005000000237487257,0.7947704792022705,0.7534000277519226,0.708514392375946
11,0.73089998960495,0.0005000000237487257,0.7791187167167664,0.7477999925613403,0.7338707447052002
12,0.7420250177383423,0.0005000000237487257,0.7519978880882263,0.7580000162124634,0.6987029314041138
13,0.7454249858856201,0.0005000000237487257,0.7392376661300659,0.788100004196167,0.6067351698875427
14,0.7494500279426575,0.0005000000237487257,0.7294173240661621,0.7943999767303467,0.6122509837150574
15,0.7551000118255615,0.0005000000237487257,0.7150985598564148,0.7766000032424927,0.6384914517402649
16,0.760450005531311,0.0005000000237487257,0.7008112072944641,0.7860999703407288,0.6172012090682983
17,0.7784249782562256,0.0002500000118743628,0.6527038216590881,0.8037999868392944,0.5671968460083008
18,0.7782999873161316,0.0002500000118743628,0.6407026052474976,0.8066999912261963,0.5649545788764954
19,0.7844499945640564,0.0002500000118743628,0.6341214179992676,0.7907000184059143,0.6201894879341125
20,0.7891250252723694,0.0002500000118743628,0.6258141398429871,0.8156999945640564,0.5430900454521179
21,0.7914249897003174,0.0002500000118743628,0.6123164892196655,0.8098999857902527,0.5671244859695435
22,0.7934749722480774,0.0002500000118743628,0.6091120839118958,0.8162999749183655,0.5448543429374695
23,0.7961249947547913,0.0002500000118743628,0.5988069176673889,0.8155999779701233,0.5459945201873779
24,0.803725004196167,0.0001250000059371814,0.5755072236061096,0.814300000667572,0.5492655634880066
25,0.8049749732017517,0.0001250000059371814,0.5706339478492737,0.8212000131607056,0.5262143611907959
26,0.8057000041007996,0.0001250000059371814,0.572306215763092,0.8029999732971191,0.582726001739502
27,0.8112000226974487,0.0001250000059371814,0.5646284818649292,0.8295999765396118,0.5012775659561157
28,0.8064749836921692,0.0001250000059371814,0.5680410861968994,0.8294000029563904,0.5028640031814575
29,0.810699999332428,0.0001250000059371814,0.5583587288856506,0.8052999973297119,0.5830020308494568
30,0.8108000159263611,0.0001250000059371814,0.5565915107727051,0.8253999948501587,0.5095359086990356
31,0.8159499764442444,6.25000029685907e-05,0.5413519740104675,0.8260999917984009,0.5168923735618591
32,0.8148750066757202,6.25000029685907e-05,0.540703296661377,0.8282999992370605,0.5074378252029419
33,0.8155249953269958,6.25000029685907e-05,0.5381888747215271,0.8223000168800354,0.5268478393554688
34,0.8199499845504761,3.125000148429535e-05,0.5347210168838501,0.8330000042915344,0.49055394530296326
35,0.8217999935150146,3.125000148429535e-05,0.530587375164032,0.8278999924659729,0.5069586038589478
36,0.8184249997138977,3.125000148429535e-05,0.5314295291900635,0.8349999785423279,0.48263368010520935
37,0.819724977016449,3.125000148429535e-05,0.5307833552360535,0.8252000212669373,0.5121250748634338
38,0.8220499753952026,3.125000148429535e-05,0.526863694190979,0.8258000016212463,0.5150294899940491
39,0.8220750093460083,3.125000148429535e-05,0.5274249911308289,0.8342999815940857,0.49034544825553894
